word,register,distance,concreteness,domain,frames,traction,traction_distinct,score,passes,redundant,nearest_existing
Read Receipts,chaos,5,5,tech,labor;care;norms;time,4,4,9.9,TRUE,FALSE,Presence (1.00)
Snow Shoveling,chaos,5,5,space,labor;state;class;care;space,5,4,9.9,TRUE,FALSE,Vending Machines (0.67)
Crosswalk Buttons,chaos,5,5,space,infra;state;class;body;space,5,4,9.9,TRUE,TRUE,Sidewalks (1.00)
Hand Dryers,chaos,5,5,body,env;class;infra;body;care,5,4,9.9,TRUE,FALSE,Diarrhea (0.67)
Potlucks,chaos,5,5,food,race;class;labor;norms;gender,5,4,9.9,TRUE,FALSE,Foodporn (1.00)
Gift Wrapping,chaos,5,5,culture,env;gender;class;labor;norms,5,4,9.9,TRUE,FALSE,Tupperware (1.00)
Voice Notes,chaos,5,5,tech,class;race;norms;time;care,5,4,9.9,TRUE,FALSE,Punctuality (0.67)
Office Microwave Fish,chaos,5,5,work,race;norms;class;labor,4,3,9.3,TRUE,FALSE,Hotel Breakfast (1.00)
Splitting the Bill,chaos,5,5,money,class;gender;norms;care,4,3,9.3,TRUE,FALSE,Housework (0.60)
CAPTCHAs,chaos,5,5,tech,labor;infra;body;class,4,3,9.3,TRUE,FALSE,Laundry (0.60)
Hold Music,chaos,5,5,tech,labor;class;time;care,4,3,9.3,TRUE,FALSE,Sleep (0.80)
Pockets,chaos,5,5,taste,gender;class;labor;norms,4,3,9.3,TRUE,FALSE,Office Birthdays (1.00)
The Office Thermostat,chaos,5,5,work,gender;labor;env;class,4,3,9.3,TRUE,FALSE,Tupperware (0.80)
Standing on Escalators,chaos,5,5,space,space;norms;class;time,4,3,9.3,TRUE,TRUE,Queues (0.80)
Shopping Cart Coins,chaos,5,5,money,class;labor;norms;state,4,3,9.3,TRUE,FALSE,Language (0.60)
Glitter,chaos,5,5,taste,env;gender;class;norms,4,3,9.3,TRUE,FALSE,Tupperware (0.80)
Balloons,chaos,5,5,culture,env;class;care;norms,4,3,9.3,TRUE,FALSE,Charity (0.60)
Ironing,chaos,5,5,home,labor;gender;class;norms,4,3,9.3,TRUE,FALSE,Office Birthdays (1.00)
Leftovers,chaos,5,5,food,class;env;gender;care,4,3,9.3,TRUE,FALSE,Housework (0.60)
Out of Office Replies,chaos,5,5,work,labor;class;time;norms,4,3,9.3,TRUE,FALSE,Boredom (1.00)
Calendar Invites,chaos,5,5,work,labor;time;class;norms,4,3,9.3,TRUE,FALSE,Boredom (1.00)
Fitted Sheets,chaos,5,5,home,labor;gender;class;norms,4,3,9.3,TRUE,FALSE,Office Birthdays (1.00)
Umbrellas,chaos,5,5,space,space;class;norms;body,4,3,9.3,TRUE,TRUE,Seat Reclining (1.00)
Minibars,chaos,5,5,money,class;state;labor;norms,4,3,9.3,TRUE,FALSE,Language (0.60)
Hotel Slippers,chaos,5,5,home,class;labor;race;norms,4,3,9.3,TRUE,FALSE,Hotel Breakfast (1.00)
Benches,chaos,4,5,space,space;class;body;state;care,5,4,8.9,TRUE,FALSE,Hunger (0.80)
Water Fountains,chaos,4,5,space,race;state;class;infra;body,5,4,8.9,TRUE,FALSE,Statistics (0.80)
Bike Bells,chaos,5,4,space,space;class;norms;state,4,3,8.9,TRUE,FALSE,Museums (0.80)
Lost and Found,chaos,5,4,space,class;state;norms;care,4,3,8.9,TRUE,FALSE,Charity (1.00)
Sunscreen,chaos,4,5,body,race;body;class;env;care,5,4,8.9,TRUE,FALSE,Salt (0.67)
Deodorant,chaos,4,5,body,race;norms;body;gender;class,5,4,8.9,TRUE,TRUE,Beauty (1.00)
Group Photos,chaos,5,4,culture,race;gender;norms;class,4,3,8.9,TRUE,FALSE,Cargo Shorts (1.00)
Windows,chaos,4,5,home,state;class;env;infra;body,5,4,8.9,TRUE,FALSE,Poop (1.00)
Stairs,chaos,4,5,space,body;care;class;infra;space,5,4,8.9,TRUE,FALSE,Sidewalks (0.67)
Whistling,chaos,5,4,culture,norms;race;gender;class,4,3,8.9,TRUE,FALSE,Cargo Shorts (1.00)
Naps,chaos,4,5,body,labor;class;race;time;body,5,4,8.9,TRUE,FALSE,Sleep (0.67)
Cookie Banners,chaos,4,5,tech,state;infra;class;labor,4,3,8.3,TRUE,FALSE,Self-Checkout (1.00)
Best-Before Dates,chaos,4,5,food,env;class;state;care,4,3,8.3,TRUE,FALSE,Debt (0.60)
Speed Bumps,chaos,4,5,space,state;class;infra;space,4,3,8.3,TRUE,TRUE,Sidewalks (0.80)
Keys,chaos,4,5,home,class;state;space;care,4,3,8.3,TRUE,FALSE,Debt (0.60)
Duty Free,chaos,4,5,money,state;class;race;env,4,3,8.3,TRUE,FALSE,Salt (0.80)
Passport Photos,chaos,4,5,body,state;race;body;class,4,3,8.3,TRUE,FALSE,Salt (0.80)
Nicknames,chaos,4,4,language,race;class;gender;norms,4,3,7.9,TRUE,FALSE,Cargo Shorts (1.00)
